ธรแาพ,Company Common Name,ESG Combined Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
2S.BK,2S Metal PCL,NULL,NULL,NULL,NULL,NULL
AH.BK,AAPICO Hitech PCL,34.49375292,22.05308353,27.3598343,64.07798463,100
ACE.BK,Absolute Clean Energy PCL,43.3561562,27.90139662,45.08790399,67.37797536,100
ACC.BK,Advanced Connection Corporation PCL,NULL,NULL,NULL,NULL,NULL
ADVANC.BK,Advanced Info Service PCL,70.60939237,43.38381371,74.12243878,84.43672625,100
AIT.BK,Advanced Information Technology Public Company Limited,NULL,NULL,NULL,NULL,NULL
AEONTS.BK,Aeon Thana Sinsap Thailand PCL,28.29522464,8.097323906,37.25991696,24.02303109,100
APURE.BK,Agripure Holdings PCL,NULL,NULL,NULL,NULL,NULL
AIE.BK,AI Energy PCL,NULL,NULL,NULL,NULL,NULL
AHC.BK,Aikchol Hospital PCL,NULL,NULL,NULL,NULL,NULL
AIMCGu.BK,Aim Commercial Growth Freehold and Leasehold Real Estate Investment Trust,NULL,NULL,NULL,NULL,NULL
AIMIRTu.BK,AIM Industrial Growth Freehold and Leasehold Real Estate Investment Trust,NULL,NULL,NULL,NULL,NULL
AOT.BK,Airports of Thailand PCL,51.08066629,36.58223472,66.72881673,42.32935075,100
AJA.BK,AJ Advance Technology PCL,NULL,NULL,NULL,NULL,NULL
AJ.BK,AJ Plast PCL,NULL,NULL,NULL,NULL,NULL
AKS.BK,AKS Corporation PCL,NULL,NULL,NULL,NULL,NULL
ALLA.BK,Alla PCL,NULL,NULL,NULL,NULL,NULL
AYUD.BK,Allianz Ayudhya Capital PCL,NULL,NULL,NULL,NULL,NULL
ALLYu.BK,Ally Leasehold Real Estate Investment Trust,NULL,NULL,NULL,NULL,NULL
ALT.BK,ALT Telecom PCL,NULL,NULL,NULL,NULL,NULL
ALUCON.BK,Alucon PCL,NULL,NULL,NULL,NULL,NULL
AMANAH.BK,Amanah Leasing PCL,NULL,NULL,NULL,NULL,NULL
AMARIN.BK,Amarin Printing and Publishing PCL,NULL,NULL,NULL,NULL,NULL
AMATA.BK,Amata Corporation PCL,75.2928015,79.79616886,71.4677448,75.14710876,100
AMATARu.BK,Amata Summit Growth Freehold and Leasehold Real Estate Investment Trust,NULL,NULL,NULL,NULL,NULL
AMATAV.BK,Amata VN PCL,77.21391491,69.07663779,81.13151949,80.77058442,100
AMR.BK,AMR Asia PCL,NULL,NULL,NULL,NULL,NULL
ANAN.BK,Ananda Development PCL,NULL,NULL,NULL,NULL,NULL
AP.BK,AP Thailand PCL,18.91859331,4.241645244,32.26395243,18.42641474,100
AQUA.BK,Aqua Corporation PCL,NULL,NULL,NULL,NULL,NULL
A.BK,Areeya Property PCL,NULL,NULL,NULL,NULL,NULL
ASEFA.BK,Asefa PCL,NULL,NULL,NULL,NULL,NULL
AAV.BK,Asia Aviation PCL,44.20358403,53.91304348,47.79009978,28.24303047,100
AFC.BK,Asia Fiber PCL,NULL,NULL,NULL,NULL,NULL
AGE.BK,Asia Green Energy PCL,NULL,NULL,NULL,NULL,NULL
ASIA.BK,Asia Hotel PCL,NULL,NULL,NULL,NULL,NULL
AMC.BK,Asia Metal PCL,NULL,NULL,NULL,NULL,NULL
ASP.BK,Asia Plus Group Holdings PCL,NULL,NULL,NULL,NULL,NULL
APCS.BK,Asia Precision PCL,NULL,NULL,NULL,NULL,NULL
ASK.BK,Asia Sermkij Leasing PCL,NULL,NULL,NULL,NULL,NULL
AAI.BK,Asian Alliance International PCL,NULL,NULL,NULL,NULL,NULL
AI.BK,Asian Insulators PCL,NULL,NULL,NULL,NULL,NULL
ASIMAR.BK,Asian Marine Services PCL,NULL,NULL,NULL,NULL,NULL
