,Instrument,"CO2 Equivalent Emissions Direct, Scope 1","CO2 Equivalent Emissions Indirect, Scope 2",Emissions Score,Company Market Cap
0,SPC.BK,,,,20872500000
1,TCC.BK,,,,907107597.5
2,TPP.BK,,,,675000000
3,BEC.BK,,,56.36942675,16200000000
4,LEE.BK,,,,2121014577
5,WICE.BK,,,,5704120625
6,EVER.BK,,,,922409063.7
7,CM.BK,,,,792783108
8,TNITY.BK,,,,883347965.5
9,GLOCON.BK,,,,1322853010
10,SCC.BK,27236390,2880410,86.42857143,3.936E+11
11,SHREITu.BK,,,,1270212120
12,SKE.BK,,,,591480000
13,MCOT.BK,,,,2528525093
14,SEAFCO.BK,,,,2322682831
15,S11.BK,,,,2648160000
16,COTTO.BK,,,,12998514288
17,HANA.BK,5228.859,87577.736,50,41048821860
18,BCT.BK,,,,17400000000
19,TIPH.BK,,,,25108851196
20,AURA.BK,,,,21877600000
21,FPT.BK,526.58,19534.15,68.89168766,35484944511
22,PLANB.BK,23,22793,52.05882353,35304641765
23,CKP.BK,715530.79,2245.17,84.07738095,28940602515
24,AJA.BK,,,,910415292.6
25,AAV.BK,662780,671.92,55.70175439,31547999997
26,DIFu.BK,,,,1.11632E+11
27,CMAN.BK,,,,2131200000
28,RSP.BK,,,,2006100000
29,KTC.BK,497,1285,90.21857923,1.19893E+11
30,OSP.BK,141035.034,95038.136,50.86956522,86357812500
31,GULF.BK,10491006.74,109642.32,87.05357143,5.74924E+11
32,SAUCE.BK,,,,13320000000
33,EASTW.BK,203.32,61899.27,59.30232558,7253841650
34,TSC.BK,,,10.04098361,3403380000
35,SCGP.BK,2520000,270000,57.43243243,1.67424E+11
36,ACG.BK,,,,966000000
37,CRANE.BK,,,,864334355.3
38,SJWD.BK,10314,8475,11.65803109,28976324896
39,VIH.BK,,,,4479723649
40,INETREITu.BK,,,,3333000000
41,CWT.BK,,,,1344640076
42,ILINK.BK,2567,313666,23.87640449,3941334356
43,MICRO.BK,,,,2730200000
44,SST.BK,,,,3079770818
45,DTCI.BK,,,,335000000
46,SSPFu.BK,,,,1169000000
47,PTT.BK,31729751,1419881,99.83333333,9.92564E+11
48,PAF.BK,,,,675000000
49,ETC.BK,,,,6496000000
50,LNE.BK,,,,772502916.2
51,SUPEREIFu.BK,,,,4068500000
52,SSF.BK,,,,2159992000
53,SAMTEL.BK,,,,2583240000
54,PLUS.BK,,,,4656500000
55,PTL.BK,,,,12960000000
56,M.BK,,,,41899953550
57,MENA.BK,,,,1277160000
58,SIS.BK,,,,5883337404
59,TRU.BK,,,,2917609779
60,ORI.BK,63,3814,42.44332494,25768285757
61,SC.BK,388,12388,70.44270833,19801039006
62,FE.BK,,,,1408730000
63,PRIME.BK,,,,5445741459
64,TVH.BK,,,,2832992404
65,SCM.BK,,,,2976000000
66,ERW.BK,7821,33921,73.10756972,21026437161
67,CPNCGu.BK,,,,4223726100
68,QTC.BK,,,,1309795419
69,TPOLY.BK,,,,664401001.4
70,QHOPu.BK,,,,535640000
71,ANAN.BK,,,,4082925056
72,SCAP.BK,,,,27846690957
73,KPNPFu.BK,,,,723600000
74,PRAKIT.BK,,,,761673301.2
75,WP.BK,,,,2125850000
76,AS.BK,,,,6031908819
77,PQS.BK,,,,4556000000
78,AYUD.BK,,,,14986776844
79,RT.BK,,,,936600550
80,TEKA.BK,,,,840000000
81,JASIFu.BK,,,,55200000000
82,TPIPL.BK,,,,27834795450
83,STI.BK,,,,2568767557
84,CIVIL.BK,,,,1582000000
85,BLAND.BK,,,,14420752875
86,SIAM.BK,,,,860032481.1
87,Q-CON.BK,,,,5360000000
88,TK.BK,,,,3500000000
89,MALEE.BK,,,,4365850200
90,DUSIT.BK,,,,9690000000
91,ASW.BK,,,,7491059791
92,SSSC.BK,,,,1817593979
93,TSI.BK,,,,399611890.9
94,ADVANC.BK,8931,636390,75.56179775,6.69197E+11
95,SM.BK,,,,1507000000
96,MDX.BK,,,,1521898054
97,RML.BK,,,,2294866270
98,FSS.BK,,,,1302342776
99,TTW.BK,,,40.69767442,34114500000
100,SFP.BK^G23,,,,
101,AMATA.BK,470,11749,83.203125,26335000000
102,TPBI.BK,,,,1309002886
103,UBE.BK,,,,3914286000
104,MK.BK,,,,2946253678
105,BR.BK,,,,2630726087
106,SPALI.BK,,,0,41209440033
107,BH.BK,,,35.8778626,1.74895E+11
108,QHPFu.BK,,,,5260200000
109,MEGA.BK,627413.27,5504.54,77.14776632,33784943435
110,SPI.BK,,,,39603428621
111,GENCO.BK,,,,639709646.3
112,BBGI.BK,,,,7446900000
113,MNRFu.BK,,,,285950000
114,TOP.BK,3260000,0,83.72483221,1.04432E+11
115,VPO.BK,,,,658000000
116,SNNP.BK,,,,22272000000
117,POLY.BK,,,,3600000000
118,IRPC.BK,3946000,402000,94.5,47816541036
119,JCT.BK,,,,1090125000
120,BGC.BK,,,16.89189189,6493051400
121,TQM.BK,,,31.17647059,15600000000
122,LRH.BK,,,,6542296014
123,TR.BK,,,,8971200000
124,TFG.BK,,,27.63578275,23359490442
125,PYLON.BK,,,,2444587271
126,WHA.BK,1146,18104,97.00520833,72940553234
127,MILL.BK,,,,2332972306
128,PB.BK,,,,31500000000
129,KSL.BK,,,,13407107162
130,SENA.BK,,,,4355662642
131,7UP.BK,,,,2108659444
132,ASP.BK,,,,5895836923
133,SAWAD.BK,,,35.31468531,65568026766
134,AIE.BK,,,,1730017511
135,SRICHA.BK,,,,1874767950
136,CHAYO.BK,,,,7581310167
137,WAVE.BK,,,,1469965198
138,UVAN.BK,,,,7849000000
139,BWG.BK,,,35.81460674,3168716096
140,NEW.BK,,,,950000000
141,SMIT.BK,,,,2512200000
142,ESSO.BK,,,53.52348993,31666850700
143,APCS.BK,,,,2600399456
144,PCSGH.BK,,,6.497175141,6771000000
145,SCI.BK,,,,667500000
146,WACOAL.BK,,,,4200000000
147,MAJOR.BK,,,3.386454183,12972678779
148,MIDA.BK,,,,1101802102
149,THE.BK,,,,1454721028
150,CPF.BK,288103,1154269,88.7654321,1.70503E+11
151,SKY.BK,,,,16956873725
152,TASCO.BK,13352,1798,85.05154639,28410508260
153,MOSHI.BK,,,,18232497459
154,PDJ.BK,,,,1375594779
155,SPCG.BK,,,,13091796000
156,AMR.BK,,,,1440000000
157,ALLA.BK,,,,792000000
158,NATION.BK,,,,1098351998
159,ASEFA.BK,,,,2189000000
160,TIPCO.BK,,,26,5501407896
161,EMC.BK,,,,1012053572
162,CSP.BK,,,,580517526.4
163,SAM.BK,,,,512111295.6
164,ASAP.BK,,,,1800479931
165,POPFu.BK,,,,4816386000
166,PM.BK,,,15.80882353,5144909580
167,AEONTS.BK,,,42.62295082,41375000000
168,NVD.BK,1207,100729,8.942065491,3075285027
169,PTG.BK,1151,1063,74.83333333,17869000000
170,TTB.BK,298,22306,55.18648019,1.5886E+11
171,AFC.BK,,,,289396589.1
172,IRC.BK,13186.01,21091.34,31.35245902,2575583180
173,INGRS.BK,,,,954982175.4
174,TCAP.BK,,294.84,51.74863388,52168038403
175,UTP.BK,,,,7345000000
176,KDH.BK,,,,1725196114
177,CPTGFu.BK,,,,6092100000
178,SAT.BK,4691,70176,39.1221374,8036164597
179,AIMCGu.BK,,,,1512000000
180,AAI.BK,,,,6630000000
181,JKN.BK,,,,2455436128
182,SIRI.BK,576.37,6844.85,49.49622166,33498965034
183,TVO.BK,9986,41054,45.30864198,22459149012
184,MINT.BK,243782,257261,98.68421053,1.79131E+11
185,TTI.BK,,,,1250000000
186,BIG.BK,,,,1940883340
187,TU.BK,323492,188119,56.66666667,62033601448
188,GREEN.BK,,,,728042008.8
189,NCAP.BK,,,,5319000000
190,TSE.BK,,,,4658975818
191,GFPT.BK,20858,31307,60.86419753,15045852000
192,MTI.BK,,,,6549000000
193,UAC.BK,,,2.835820896,2617016300
194,STECH.BK,,,,1493500000
195,ROCK.BK,,,,162000000
196,TYCN.BK,,,,1420262382
197,BKI.BK,,,,32579820000
198,TC.BK,,,,1798500000
199,RABBIT.BK,,,,20811883219
200,SMPC.BK,,,,5729917763
201,SNC.BK,,,13.14285714,3839535593
202,HUMAN.BK,,,,7893736542
203,NSL.BK,,,,7320000000
